STABLE ID,BOOK ID,BOOK TITLE,SUBJECT,CATEGORY,GRADE,AUTHOR/PUBLISHER,COPYRIGHT YEAR,APPROVED YEAR,BOOK COVER
"NaCCA_Approved_BK0001","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools L/B 1","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=12IZyqDu52rgPrFg-MvXSwE2yfflzFlJc&sz=w200"
"NaCCA_Approved_BK0002","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools T/G 1","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1qMyywZ3dIhW5wqR3MAYqydQ2pzynblTX&sz=w200"
"NaCCA_Approved_BK0003","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools W/B 1","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1qU4HUKsCelZBx6KkX0H-U4OdA4VIz9Z7&sz=w200"
"NaCCA_Approved_BK0004","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools L/B 2","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1hyxBTvviSynuhy7j41aUNPlGTttzmrrX&sz=w200"
"NaCCA_Approved_BK0005","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools T/G 2","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1xsoldibYGWgdFe6-P-vk1G0BJpfMGPwK&sz=w200"
"NaCCA_Approved_BK0006","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools W/B 2","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1qS-HG7MxJ7Doh6Pi1ppGUDSNKNZ7HZHH&sz=w200"
"NaCCA_Approved_BK0007","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools L/B 3","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1xbrgkew8xjPYhRz9zsNe-tSXm275nHap&sz=w200"
"NaCCA_Approved_BK0008","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools T/G 3","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1NfQol_xjSm-IEt2pP7GYN3B7gFl4fCmi&sz=w200"
"NaCCA_Approved_BK0009","NaCCA/G.42/Vol.8/177","Mathematics For Primary Schools W/B 3","Mathematics","Textbook","Lower Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=1aKxa0JW3538IKdHy2dPVwreEq-EV4YBg&sz=w200"
"NaCCA_Approved_BK0010","NaCCA/G.42/Vol.8/177","Juleno Jadec Series Mathematics for Primary Schools Bk 4","Mathematics","Textbook","Upper Primary","Juleno Jadec Ltd.","2025","2026","https://drive.google.com/thumbnail?id=16QtAXevIReOyjSRNi1UhKs53SLC_6yot&sz=w200"
